id,name,tag_category_id
cooking_method_tag_1,sống,cooking_method_cat
cooking_method_tag_2,ướp,cooking_method_cat
cooking_method_tag_3,luộc,cooking_method_cat
cooking_method_tag_4,nấu nhỏ lửa,cooking_method_cat
cooking_method_tag_5,hấp,cooking_method_cat
cooking_method_tag_6,chần,cooking_method_cat
cooking_method_tag_7,trụng,cooking_method_cat
cooking_method_tag_8,xào,cooking_method_cat
cooking_method_tag_9,rán chảo,cooking_method_cat
cooking_method_tag_10,chiên ngập dầu,cooking_method_cat
cooking_method_tag_11,nướng,cooking_method_cat
cooking_method_tag_12,quay,cooking_method_cat
cooking_method_tag_13,nướng lò,cooking_method_cat
cooking_method_tag_14,om,cooking_method_cat
cooking_method_tag_15,hầm,cooking_method_cat
cooking_method_tag_16,hun khói,cooking_method_cat
cooking_method_tag_17,áp chảo,cooking_method_cat
