id,name,tag_category_id
food_tag_1,thịt gà,food_cat
food_tag_2,thịt bò,food_cat
food_tag_3,thịt heo,food_cat
food_tag_4,cá,food_cat
food_tag_5,tôm,food_cat
food_tag_6,cua,food_cat
food_tag_7,đậu hũ,food_cat
food_tag_8,tempeh,food_cat
food_tag_9,trứng,food_cat
food_tag_10,vịt,food_cat
food_tag_11,thịt cừu,food_cat
food_tag_12,đậu,food_cat
food_tag_13,cơm,food_cat
food_tag_14,mì,food_cat
food_tag_15,bánh mì,food_cat
food_tag_16,mì ống,food_cat
food_tag_17,hạt diêm mạch,food_cat
food_tag_18,yến mạch,food_cat
food_tag_19,bắp,food_cat
food_tag_20,khoai tây,food_cat
food_tag_21,khoai lang,food_cat
food_tag_22,bột năng,food_cat
food_tag_23,cà chua,food_cat
food_tag_24,hành tây,food_cat
food_tag_25,tỏi,food_cat
food_tag_26,cà rốt,food_cat
food_tag_27,bắp cải,food_cat
food_tag_28,xà lách,food_cat
food_tag_29,rau chân vịt,food_cat
food_tag_30,cải xoăn,food_cat
food_tag_31,bông cải xanh,food_cat
food_tag_32,súp lơ,food_cat
food_tag_33,ớt chuông,food_cat
food_tag_34,nấm,food_cat
food_tag_35,bí ngòi,food_cat
food_tag_36,cà tím,food_cat
food_tag_37,đậu bắp,food_cat
food_tag_38,chuối,food_cat
food_tag_39,táo,food_cat
food_tag_40,xoài,food_cat
food_tag_41,dứa,food_cat
food_tag_42,cam,food_cat
food_tag_43,chanh vàng,food_cat
food_tag_44,chanh xanh,food_cat
food_tag_45,dâu tây,food_cat
food_tag_46,bơ,food_cat
food_tag_47,đu đủ,food_cat
food_tag_48,sữa,food_cat
food_tag_49,phô mai,food_cat
food_tag_50,sữa chua,food_cat
food_tag_51,kem,food_cat
food_tag_52,nước cốt dừa,food_cat
food_tag_53,sữa hạnh nhân,food_cat
food_tag_54,sữa đậu nành,food_cat
food_tag_55,dầu ô liu,food_cat
food_tag_56,dầu thực vật,food_cat
food_tag_57,dầu mè,food_cat
food_tag_58,dầu cá,food_cat
food_tag_59,mỡ heo,food_cat
food_tag_60,bơ ghee,food_cat
food_tag_61,muối,food_cat
food_tag_62,tiêu,food_cat
food_tag_63,ớt,food_cat
food_tag_64,húng quế,food_cat
food_tag_65,ngò,food_cat
food_tag_66,rau mùi tây,food_cat
food_tag_67,gừng,food_cat
food_tag_68,nghệ,food_cat
food_tag_69,sả,food_cat
food_tag_70,quế,food_cat
food_tag_71,hoa hồi,food_cat
food_tag_72,bột cà ri,food_cat
food_tag_73,nước tương,food_cat
food_tag_74,nước mắm,food_cat
food_tag_75,dầu hào,food_cat
food_tag_76,tương hột,food_cat
food_tag_77,tương ớt,food_cat
food_tag_78,tương cà,food_cat
food_tag_79,sốt mayonnaise,food_cat
food_tag_80,mù tạt,food_cat
food_tag_81,giấm,food_cat
food_tag_82,sốt đậu phộng,food_cat
food_tag_83,đường,food_cat
food_tag_84,mật ong,food_cat
food_tag_85,siro cây phong,food_cat
food_tag_86,cỏ ngọt,food_cat
food_tag_87,đậu phộng,food_cat
food_tag_88,hạt điều,food_cat
food_tag_89,hạnh nhân,food_cat
food_tag_90,óc chó,food_cat
food_tag_91,hạt mè,food_cat
food_tag_92,hạt chia,food_cat
food_tag_93,hạt hướng dương,food_cat
food_tag_94,bột ngọt,food_cat
food_tag_95,muối nở,food_cat
food_tag_96,men nở,food_cat
food_tag_97,gelatin,food_cat
food_tag_98,bột bắp,food_cat
