id,name,tag_category_id
cooking_tag_1,sống,cooking_cat
cooking_tag_2,ướp,cooking_cat
cooking_tag_3,luộc,cooking_cat
cooking_tag_4,nấu nhỏ lửa,cooking_cat
cooking_tag_5,hấp,cooking_cat
cooking_tag_6,chần,cooking_cat
cooking_tag_7,trụng,cooking_cat
cooking_tag_8,xào,cooking_cat
cooking_tag_9,rán chảo,cooking_cat
cooking_tag_10,chiên ngập dầu,cooking_cat
cooking_tag_11,nướng,cooking_cat
cooking_tag_12,quay,cooking_cat
cooking_tag_13,nướng lò,cooking_cat
cooking_tag_14,om,cooking_cat
cooking_tag_15,hầm,cooking_cat
cooking_tag_16,hun khói,cooking_cat
cooking_tag_17,áp chảo,cooking_cat
