id,name,tag_category_id
culture_tag_1,Việt Nam,culture_cat
culture_tag_2,Thái Lan,culture_cat
culture_tag_3,Trung Quốc,culture_cat
culture_tag_4,Nhật Bản,culture_cat
culture_tag_5,Hàn Quốc,culture_cat
culture_tag_6,Ấn Độ,culture_cat
culture_tag_7,Malaysia,culture_cat
culture_tag_8,Indonesia,culture_cat
culture_tag_9,Singapore,culture_cat
culture_tag_10,Philippines,culture_cat
culture_tag_11,Mỹ,culture_cat
culture_tag_12,Ý,culture_cat
culture_tag_13,Pháp,culture_cat
culture_tag_14,Mexico,culture_cat
