id,name,description,price,category,store_id,stock_status,stock_count,rating,created_at,updated_at,food_tags,taste_tags,cooking_method_tags,culture_tags
dish_1,Phở Bò,Phở bò truyền thống với nước dùng đậm đà,65000,món chính,store_1,available,78,4.0,2025-05-26 20:11:36.405006,2025-10-06 20:11:36.405006,"['food_tag_2', 'food_tag_14', 'food_tag_24', 'food_tag_29']","['taste_tag_22', 'taste_tag_19', 'taste_tag_2']","['cooking_tag_3', 'cooking_tag_5']",['culture_tag_1']
dish_2,Bánh Mì Thịt Nướng,"Bánh mì với thịt nướng, rau củ tươi",35000,món chính,store_1,available,107,4.1,2025-08-22 20:11:36.405006,2025-09-22 20:11:36.405006,"['food_tag_3', 'food_tag_15', 'food_tag_26', '']","['taste_tag_2', 'taste_tag_8', 'taste_tag_19']","['cooking_tag_11', 'cooking_tag_1']",['culture_tag_1']
dish_3,Gỏi Cuốn Tôm,Gỏi cuốn tôm tươi với rau sống,45000,khai vị,store_1,available,189,4.1,2025-03-11 20:11:36.405006,2025-10-12 20:11:36.405006,"['food_tag_5', 'food_tag_29', '', '']","['', 'taste_tag_1', 'taste_tag_8']","['cooking_tag_6', 'cooking_tag_1']",['culture_tag_1']
dish_4,Cơm Tấm Sườn Nướng,Cơm tấm với sườn heo nướng,55000,món chính,store_1,available,57,4.1,2025-06-16 20:11:36.405006,2025-09-27 20:11:36.405006,"['food_tag_13', 'food_tag_3', '', '']","['taste_tag_9', 'taste_tag_2', 'taste_tag_19']","['cooking_tag_11', 'cooking_tag_3']",['culture_tag_1']
dish_5,Chả Cá Lã Vọng,Chả cá Hà Nội với nghệ và thì là,75000,món chính,store_1,available,56,4.4,2024-11-15 20:11:36.405006,2025-09-21 20:11:36.405006,"['food_tag_4', '', '', '']","['taste_tag_3', 'taste_tag_22', 'taste_tag_31']","['cooking_tag_9', 'cooking_tag_5']",['culture_tag_1']
dish_6,Bún Chả Hà Nội,Bún chả Hà Nội với thịt nướng,60000,món chính,store_1,available,189,4.3,2025-02-26 20:11:36.405006,2025-09-25 20:11:36.405006,"['', 'food_tag_3', '', '']","['taste_tag_9', '', 'taste_tag_2']","['cooking_tag_11', 'cooking_tag_3']",['culture_tag_1']
dish_7,Bánh Xèo Miền Tây,Bánh xèo miền Tây với tôm và đậu xanh,50000,món chính,store_1,available,121,4.6,2025-10-10 20:11:36.405006,2025-09-19 20:11:36.405006,"['food_tag_5', '', 'food_tag_22', '']","['taste_tag_8', 'taste_tag_28', 'taste_tag_21']",['cooking_tag_9'],['culture_tag_1']
dish_8,Canh Chua Cá Lóc,Canh chua cá lóc với me và cà chua,70000,canh,store_1,available,90,4.6,2025-04-22 20:11:36.405006,2025-10-05 20:11:36.405006,"['food_tag_4', 'food_tag_23', '', '']","['taste_tag_15', 'taste_tag_2', 'taste_tag_22']",['cooking_tag_4'],['culture_tag_1']
dish_9,Nem Nướng Nha Trang,Nem nướng Nha Trang với bánh tráng,65000,khai vị,store_1,available,89,4.2,2025-04-24 20:11:36.405006,2025-10-10 20:11:36.405006,"['food_tag_3', '', '', '']","['taste_tag_3', 'taste_tag_8', 'taste_tag_22']",['cooking_tag_11'],['culture_tag_1']
dish_10,Chè Đậu Đỏ,Chè đậu đỏ ngọt với nước cốt dừa,25000,tráng miệng,store_1,available,73,4.3,2025-04-13 20:11:36.405006,2025-09-16 20:11:36.405006,"['', 'food_tag_51', '']","['taste_tag_10', 'taste_tag_28', 'taste_tag_27']",['cooking_tag_4'],['culture_tag_1']
dish_11,Ramen Tonkotsu,Ramen tonkotsu với thịt heo và trứng luộc,85000,món chính,store_2,available,138,4.5,2025-09-21 20:11:36.405006,2025-09-20 20:11:36.405006,"['food_tag_3', 'food_tag_14', 'food_tag_9', 'food_tag_34']","['taste_tag_22', 'taste_tag_28', 'taste_tag_2']","['cooking_tag_15', 'cooking_tag_3']",['culture_tag_4']
dish_12,Pad Thai Fusion,Pad Thai với tôm và đậu hũ chiên,70000,món chính,store_2,available,167,4.4,2025-04-03 20:11:36.405006,2025-10-11 20:11:36.405006,"['food_tag_5', 'food_tag_7', 'food_tag_14', '']","['taste_tag_9', '', 'taste_tag_3']","['cooking_tag_8', 'cooking_tag_10']",['culture_tag_2']
dish_13,Korean BBQ Bulgogi,Thịt bò bulgogi với rau củ nướng,95000,món chính,store_2,available,191,4.2,2024-11-26 20:11:36.405006,2025-09-24 20:11:36.405006,"['food_tag_2', 'food_tag_24', 'food_tag_26', '']","['taste_tag_9', 'taste_tag_22', 'taste_tag_2']","['cooking_tag_11', 'cooking_tag_2']",['culture_tag_5']
dish_14,Kung Pao Chicken,Gà kung pao với ớt chuông và đậu phộng,75000,món chính,store_2,available,142,4.5,2024-10-18 20:11:36.405006,2025-10-11 20:11:36.405006,"['food_tag_1', 'food_tag_33', '', 'food_tag_24']","['taste_tag_4', 'taste_tag_8', 'taste_tag_22']","['cooking_tag_8', 'cooking_tag_9']",['culture_tag_3']
dish_15,Butter Chicken Curry,Gà bơ cà ri với cơm basmati,80000,món chính,store_2,available,61,4.5,2025-05-18 20:11:36.405006,2025-10-11 20:11:36.405006,"['food_tag_1', 'food_tag_23', 'food_tag_48', 'food_tag_13']","['taste_tag_3', 'taste_tag_28', 'taste_tag_27']","['cooking_tag_15', 'cooking_tag_4']",['culture_tag_6']
dish_16,Sushi Salmon Roll,Sushi cuộn cá hồi với rau củ tươi,90000,khai vị,store_2,available,109,4.7,2025-04-02 20:11:36.405006,2025-10-05 20:11:36.405006,"['food_tag_4', 'food_tag_13', '', '']","['taste_tag_21', 'taste_tag_2', 'taste_tag_30']",['cooking_tag_1'],['culture_tag_4']
dish_17,Tom Yum Goong,Canh chua tôm Thái với nấm và chanh,65000,canh,store_2,available,166,4.5,2025-04-10 20:11:36.405006,2025-10-08 20:11:36.405006,"['food_tag_5', 'food_tag_34', '', '']","['taste_tag_15', 'taste_tag_4', 'taste_tag_31']",['cooking_tag_4'],['culture_tag_2']
dish_18,Bibimbap Bowl,Bibimbap với rau củ và thịt bò,75000,món chính,store_2,available,144,4.3,2024-11-04 20:11:36.405006,2025-10-05 20:11:36.405006,"['food_tag_13', 'food_tag_2', '', 'food_tag_9']","['taste_tag_22', 'taste_tag_3', 'taste_tag_28']","['cooking_tag_8', 'cooking_tag_3']",['culture_tag_5']
dish_19,Mapo Tofu,Đậu hũ mapo với thịt heo bằm,60000,món chính,store_2,available,68,4.5,2025-07-18 20:11:36.405006,2025-09-26 20:11:36.405006,"['food_tag_7', 'food_tag_3', '', '']","['taste_tag_4', 'taste_tag_22', 'taste_tag_28']","['cooking_tag_15', 'cooking_tag_8']",['culture_tag_3']
dish_20,Mango Sticky Rice,Xôi xoài với nước cốt dừa,40000,tráng miệng,store_2,available,112,4.1,2025-04-02 20:11:36.405006,2025-10-05 20:11:36.405006,"['food_tag_13', 'food_tag_40', 'food_tag_51', '']","['taste_tag_10', 'taste_tag_27', 'taste_tag_33']","['cooking_tag_5', 'cooking_tag_4']",['culture_tag_2']
