id,name,tag_category_id
food_tag_1,thịt gà,food_cat
food_tag_2,thịt bò,food_cat
food_tag_3,thịt heo,food_cat
food_tag_4,cá,food_cat
food_tag_5,tôm,food_cat
food_tag_6,cua,food_cat
food_tag_7,đậu hũ,food_cat
food_tag_8,tempeh,food_cat
food_tag_9,trứng,food_cat
food_tag_10,vịt,food_cat
food_tag_11,thịt cừu,food_cat
food_tag_12,đậu,food_cat
food_tag_13,cơm,food_cat
food_tag_14,mì,food_cat
food_tag_15,bánh mì,food_cat
food_tag_16,mì ống,food_cat
food_tag_17,hạt diêm mạch,food_cat
food_tag_18,yến mạch,food_cat
food_tag_19,bắp,food_cat
food_tag_20,khoai tây,food_cat
food_tag_21,khoai lang,food_cat
food_tag_22,bột năng,food_cat
food_tag_23,cà chua,food_cat
food_tag_24,hành tây,food_cat
food_tag_25,tỏi,food_cat
food_tag_26,cà rốt,food_cat
food_tag_27,bắp cải,food_cat
food_tag_28,xà lách,food_cat
food_tag_29,rau chân vịt,food_cat
food_tag_30,cải xoăn,food_cat
food_tag_31,bông cải xanh,food_cat
food_tag_32,súp lơ,food_cat
food_tag_33,ớt chuông,food_cat
food_tag_34,nấm,food_cat
food_tag_35,bí ngòi,food_cat
food_tag_36,cà tím,food_cat
food_tag_37,đậu bắp,food_cat
food_tag_38,chuối,food_cat
food_tag_39,táo,food_cat
food_tag_40,xoài,food_cat
food_tag_41,dứa,food_cat
food_tag_42,cam,food_cat
food_tag_43,chanh vàng,food_cat
food_tag_44,chanh xanh,food_cat
food_tag_45,dâu tây,food_cat
food_tag_46,bơ,food_cat
food_tag_47,đu đủ,food_cat
food_tag_48,sữa,food_cat
food_tag_49,phô mai,food_cat
food_tag_50,sữa chua,food_cat
food_tag_51,nước cốt dừa,food_cat
food_tag_52,sữa hạnh nhân,food_cat
food_tag_53,sữa đậu nành,food_cat
